CustomerName,Age,Gender,Country,ProductCategory,SignupDate,PurchaseAmount,Email
Priya Das,56,Female,USA,Electronics,2023-01-04,186.12,priya.das887@mail.com
Manish Reddy,44,Male,USA,Clothing,2023-06-21,65.13,manish.reddy751@mail.com
Swati Iyer,29,Female,India,Furniture,2024-02-13,173.73,swati.iyer447@mail.com
Meera Sharma,19,Female,UK,Beauty,2024-05-10,230.75,meera.sharma8@mail.com
Rahul Reddy,50,Male,UK,Clothing,2024-04-04,58.99,rahul.reddy550@mail.com
Vikram Verma,30,Male,India,Electronics,2023-08-21,215.56,vikram.verma52@mail.com
Meera Iyer,68,Male,UK,Electronics,2024-09-15,40.55,
Sneha Gupta,19,Female,India,Sports,2024-06-23,113.99,sneha.gupta52@mail.com
Deepak Nair,29,Female,Germany,Electronics,2023-09-17,233.24,deepak.nair971@mail.com
Nikhil Chauhan,51,Male,UK,Clothing,2024-09-03,67.91,nikhil.chauhan885@mail.com
Sneha Nair,63,Male,UK,Sports,2024-06-02,50.57,sneha.nair917@mail.com
Deepak Rao,45,Female,USA,Furniture,2023-04-12,342.2,deepak.rao195@mail.com
Kavya Rao,55,Male,UK,Clothing,2023-04-08,21.39,kavya.rao316@mail.com
Suresh Rao,46,Male,India,Sports,2024-05-14,26.24,suresh.rao139@mail.com
Kavya Chauhan,42,Male,Germany,Clothing,2023-02-20,143.83,kavya.chauhan861@mail.com
Suresh Das,29,Male,USA,Clothing,2024-07-19,90.64,suresh.das915@mail.com
Rahul Iyer,53,Female,UK,Beauty,2024-08-08,23.12,rahul.iyer575@mail.com
Rahul Das,62,Female,India,Beauty,2022-08-07,181.25,rahul.das53@mail.com
Kavya Sharma,68,Male,UK,Clothing,2022-10-14,118.06,kavya.sharma349@mail.com
Swati Rao,59,Male,India,Furniture,2023-01-07,156.05,swati.rao852@mail.com
Rahul Rao,35,Male,UK,Sports,2022-09-15,198.49,rahul.rao619@mail.com
Vikram Das,54,Female,USA,Groceries,2024-10-10,62.62,vikram.das467@mail.com
Manish Sharma,47,Female,Germany,Electronics,2024-10-03,181.81,manish.sharma271@mail.com
Arjun Rao,29,Female,Germany,Beauty,2022-06-26,253.11,arjun.rao960@mail.com
Suresh Gupta,27,Male,Germany,Furniture,2023-07-01,44.91,suresh.gupta191@mail.com
Deepak Nair,65,Female,UK,Beauty,2022-06-25,125.685,deepak.nair436@mail.com
Rahul Chauhan,56,Female,India,Beauty,2023-06-09,290.21,rahul.chauhan400@mail.com
Sneha Sharma,19,Female,USA,Furniture,2023-08-25,83.16,sneha.sharma182@mail.com
Ritu Iyer,42,Female,Germany,Beauty,2024-09-01,63.93,ritu.iyer473@mail.com
Neha Nair,31,Female,Germany,Furniture,2023-09-08,170.55,neha.nair681@mail.com
Vikram Chauhan,32,Female,USA,Clothing,2023-11-19,20.15,vikram.chauhan339@mail.com
Anjali Das,34,Male,Germany,Clothing,2023-05-09,285.57,anjali.das65@mail.com
Deepak Iyer,54,Male,UK,Clothing,2022-01-25,36.1,deepak.iyer833@mail.com
Swati Gupta,24,Male,USA,Furniture,2023-03-07,63.06,swati.gupta192@mail.com
Rohit Sharma,48,Male,USA,Sports,2023-05-01,151.67,rohit.sharma784@mail.com
Deepak Verma,30,Female,UK,Beauty,2023-10-21,168.85,deepak.verma57@mail.com
Anjali Das,51,Female,India,Electronics,2022-02-14,453.18,anjali.das810@mail.com
Meera Rao,32,Female,UK,Groceries,2022-07-17,44.41,meera.rao792@mail.com
Divya Nair,39,Male,Germany,Groceries,2022-02-08,144.67,divya.nair63@mail.com
Karan Nair,58,Male,Germany,Furniture,2023-02-19,162.7,karan.nair324@mail.com
Divya Verma,55,Male,India,Clothing,2023-09-13,35.37,divya.verma383@mail.com
Nikhil Reddy,66,Male,UK,Sports,2023-02-02,25.04,nikhil.reddy159@mail.com
Deepak Sharma,18,Male,UK,Electronics,2023-02-15,34.79,deepak.sharma306@mail.com
Vikram Reddy,20,Male,UK,Beauty,2023-08-20,247.03,vikram.reddy575@mail.com
Priya Patel,23,Female,UK,Groceries,2022-03-24,45.68,priya.patel539@mail.com
Deepak Rao,23,Male,India,Clothing,2024-06-03,216.71,deepak.rao773@mail.com
Deepak Nair,38,Male,India,Groceries,2022-10-04,68.04,deepak.nair834@mail.com
Suresh Nair,38,Male,Germany,Beauty,2023-03-10,316.39,
Swati Iyer,39,Male,UK,Clothing,2023-10-26,63.2,swati.iyer684@mail.com
Divya Rao,46,Male,UK,Furniture,2024-08-21,110.69,divya.rao80@mail.com
Rohit Rao,30,Male,India,Sports,2022-09-06,307.69,rohit.rao88@mail.com
Kavya Chauhan,32,Female,India,Clothing,2022-10-27,452.52,kavya.chauhan243@mail.com
Kavya Nair,37,Female,Germany,Groceries,2022-07-15,288.64,kavya.nair624@mail.com
Rahul Nair,40,Female,Germany,Sports,2023-11-05,388.53,rahul.nair791@mail.com
Anjali Das,34,Male,Germany,Clothing,2023-05-09,285.57,anjali.das65@mail.com
Neha Reddy,46,Female,UK,Beauty,2022-03-09,306.78,neha.reddy726@mail.com
Kavya Gupta,45,Female,USA,Sports,2023-08-21,51.26,kavya.gupta879@mail.com
Kavya Das,41,Male,Germany,Sports,2023-01-16,64.29,kavya.das941@mail.com
Neha Das,53,Male,USA,Clothing,2022-09-06,204.13,neha.das354@mail.com
Divya Reddy,19,Male,USA,Beauty,2022-10-09,327.73,divya.reddy741@mail.com
Ritu Rao,61,Female,USA,Clothing,2024-01-10,36.72,ritu.rao767@mail.com
Divya Sharma,55,Female,India,Furniture,2024-02-07,255.6,divya.sharma465@mail.com
Nikhil Verma,36,Male,USA,Beauty,2022-01-20,133.2,nikhil.verma68@mail.com
Arjun Patel,30,Male,USA,Groceries,2024-02-21,26.71,arjun.patel526@mail.com
Meera Iyer,54,Male,UK,Clothing,2022-11-16,107.06,meera.iyer825@mail.com
Nikhil Das,42,Female,UK,Electronics,2024-07-06,454.33,
Kavya Sharma,42,Female,USA,Sports,2022-03-09,70.09,kavya.sharma683@mail.com
Nikhil Gupta,42,Male,India,Groceries,2023-08-02,33.8,nikhil.gupta321@mail.com
Pooja Das,69,Female,India,Sports,2023-04-08,120.0,pooja.das229@mail.com
Kavya Reddy,39,Male,India,Beauty,2024-01-08,155.72,kavya.reddy318@mail.com
Manish Patel,26,Male,India,Beauty,2022-02-26,83.33,manish.patel36@mail.com
Ritu Verma,64,Male,India,Sports,2022-03-14,211.87,ritu.verma970@mail.com
Rahul Reddy,42,Female,USA,Groceries,2023-02-20,125.685,rahul.reddy915@mail.com
Kavya Nair,55,Male,India,Clothing,2024-08-01,95.76,kavya.nair580@mail.com
Suresh Nair,23,Male,India,Furniture,2024-11-15,147.25,suresh.nair167@mail.com
Meera Nair,35,Female,USA,Clothing,2024-01-25,214.25,meera.nair523@mail.com
Swati Das,44,Female,UK,Groceries,2024-05-09,132.43,swati.das861@mail.com
Anjali Rao,42,Female,UK,Beauty,2024-02-24,711.59,anjali.rao312@mail.com
Karan Verma,50,Male,Germany,Furniture,2023-04-13,95.86,karan.verma247@mail.com
Vikram Verma,69,Male,India,Clothing,2024-05-20,346.96,vikram.verma203@mail.com
Rohit Gupta,68,Male,India,Clothing,2023-12-02,210.52,
Priya Das,50,Female,USA,Furniture,2024-11-16,171.73,priya.das313@mail.com
Anjali Rao,55,Male,India,Beauty,2023-07-20,75.21,anjali.rao818@mail.com
Swati Iyer,42,Male,Germany,Furniture,2024-01-03,181.33,swati.iyer143@mail.com
Neha Sharma,59,Male,USA,Furniture,2023-01-20,356.5,neha.sharma498@mail.com
Rohit Chauhan,22,Male,Germany,Groceries,2023-09-03,136.74,rohit.chauhan228@mail.com
Karan Sharma,19,Female,UK,Groceries,2023-02-23,125.685,karan.sharma332@mail.com
Divya Das,23,Female,India,Furniture,2024-02-15,516.13,divya.das515@mail.com
Suresh Nair,31,Male,Germany,Clothing,2024-08-27,207.42,suresh.nair26@mail.com
Rohit Sharma,25,Female,Germany,Electronics,2022-01-11,31.28,rohit.sharma434@mail.com
Sneha Nair,36,Male,India,Electronics,2023-04-02,382.24,sneha.nair940@mail.com
Suresh Chauhan,28,Female,USA,Clothing,2022-02-13,224.01,suresh.chauhan50@mail.com
Priya Iyer,49,Male,India,Groceries,2024-11-07,46.37,priya.iyer527@mail.com
Pooja Das,18,Male,UK,Groceries,2023-01-23,77.62,pooja.das725@mail.com
Arjun Patel,55,Male,USA,Electronics,2024-08-06,125.685,arjun.patel865@mail.com
Karan Rao,30,Male,Germany,Sports,2024-02-13,30.89,karan.rao510@mail.com
Deepak Sharma,42,Male,Germany,Furniture,2024-10-09,31.85,deepak.sharma381@mail.com
Rohit Patel,20,Male,UK,Electronics,2023-10-21,117.85,
Pooja Reddy,60,Male,India,Sports,2022-11-17,45.2,
Rohit Rao,31,Female,UK,Beauty,2022-04-26,334.58,rohit.rao624@mail.com
Sneha Nair,46,Female,USA,Clothing,2022-03-14,150.12,sneha.nair750@mail.com
Sneha Reddy,38,Male,UK,Sports,2024-11-23,360.54,sneha.reddy457@mail.com
Ritu Chauhan,24,Male,UK,Beauty,2023-03-09,102.17,ritu.chauhan129@mail.com
Anjali Sharma,68,Female,UK,Furniture,2022-08-22,123.48,anjali.sharma373@mail.com
Divya Reddy,23,Female,Germany,Clothing,2023-04-13,136.69,divya.reddy451@mail.com
Kavya Iyer,37,Male,Germany,Electronics,2022-03-06,107.59,kavya.iyer315@mail.com
Aditya Verma,52,Female,USA,Furniture,2022-09-01,125.56,aditya.verma314@mail.com
Divya Reddy,66,Male,USA,Clothing,2023-11-07,36.49,divya.reddy173@mail.com
Priya Nair,26,Female,India,Sports,2022-04-10,20.7,priya.nair630@mail.com
Swati Nair,50,Male,India,Groceries,2022-01-15,59.24,swati.nair595@mail.com
Arjun Das,28,Male,Germany,Electronics,2023-07-19,164.06,arjun.das647@mail.com
Nikhil Das,57,Female,UK,Furniture,2024-01-09,205.12,nikhil.das675@mail.com
