CustomerName,Age,Gender,Country,ProductCategory,SignupDate,PurchaseAmount,Email
Priya Das,56.0,female,usa,Electronics,04-01-2023,186.12,priya.das887@mail.com
Manish Reddy,44.0,,usa,Clothing,06-21-2023,65.13,manish.reddy751@mail.com
Swati Iyer,29.0,F,india,Furniture,13/02/2024,173.73,swati.iyer447@mail.com
Meera Sharma,19.0,Female,,Beauty,10/05/2024,230.75,meera.sharma8@mail.com
Rahul Reddy,50.0,male,uk,Clothing,2024-04-04,58.99,rahul.reddy550@mail.com
Vikram Verma,30.0,,india,Electronics,21-08-2023,215.56,vikram.verma52@mail.com
Meera Iyer,68.0,MALE,U.K.,Electronics,2024-09-15,40.55,
Sneha Gupta,19.0,Female,INDIA,Sports,23-06-2024,113.99,sneha.gupta52@mail.com
Deepak Nair,29.0,F,Germany,Electronics,09-17-2023,233.24,deepak.nair971@mail.com
Nikhil Chauhan,51.0,M,UK,Clothing,2024-03-09,67.91,nikhil.chauhan885@mail.com
Sneha Nair,63.0,MALE,UK,Sports,02-06-2024,50.57,sneha.nair917@mail.com
Deepak Rao,45.0,FEMALE,USA,Furniture,12-04-2023,342.2,deepak.rao195@mail.com
Kavya Rao,55.0,M,UK,Clothing,08/04/2023,21.39,kavya.rao316@mail.com
Suresh Rao,46.0,Male,india,Sports,14-05-2024,26.24,suresh.rao139@mail.com
Kavya Chauhan,,,Germany,Clothing,20/02/2023,143.83,kavya.chauhan861@mail.com
Suresh Das,29.0,MALE,USA,Clothing,19/07/2024,90.64,suresh.das915@mail.com
Rahul Iyer,53.0,Female,uk,Beauty,08/08/2024,23.12,rahul.iyer575@mail.com
Rahul Das,62.0,F,india,Beauty,2022-07-08,181.25,rahul.das53@mail.com
Kavya Sharma,68.0 yrs,male,UK,Clothing,14/10/2022,118.06,kavya.sharma349@mail.com
Swati Rao,59.0,M,INDIA,Furniture,07/01/2023,156.05,swati.rao852@mail.com
Rahul Rao,35.0,Male,UK,Sports,09-15-2022,198.49,rahul.rao619@mail.com
Vikram Das,54.0,FEMALE,usa,Groceries,10-10-2024,62.62,vikram.das467@mail.com
Manish Sharma,47.0,female,germany,Electronics,2024-03-10,181.81,manish.sharma271@mail.com
Arjun Rao,29.0,Female,germany,Beauty,26/06/2022,253.11,arjun.rao960@mail.com
Suresh Gupta,27.0,M,Germany,Furniture,01-07-2023,44.91,suresh.gupta191@mail.com
Deepak Nair,65.0,FEMALE,uk,Beauty,06-25-2022,,deepak.nair436@mail.com
Rahul Chauhan,56.0,F,india,Beauty,09/06/2023,290.21,rahul.chauhan400@mail.com
Sneha Sharma,19.0,Female,usa,Furniture,25-08-2023,83.16,sneha.sharma182@mail.com
Ritu Iyer,,F,germany,Beauty,01-09-2024,63.93,ritu.iyer473@mail.com
Neha Nair,31.0,Female,Germany,Furniture,2023-08-09,170.55,neha.nair681@mail.com
Vikram Chauhan,32.0,FEMALE,U.S.A,Clothing,19/11/2023,20.15,vikram.chauhan339@mail.com
Anjali Das,34.0 yrs,,germany,Clothing,2023-09-05,285.57,anjali.das65@mail.com
Deepak Iyer,54.0,male,uk,Clothing,2022-01-25,36.1,deepak.iyer833@mail.com
Swati Gupta,24.0,M,usa,Furniture,07-03-2023,63.06,swati.gupta192@mail.com
Rohit Sharma,48.0,male,USA,Sports,01/05/2023,151.67,rohit.sharma784@mail.com
Deepak Verma,30.0,FEMALE,U.K.,Beauty,10-21-2023,168.85,deepak.verma57@mail.com
Anjali Das,51.0,female,INDIA,Electronics,02-14-2022,$453.18,anjali.das810@mail.com
  MEERA RAO  ,32.0,Female,U.K.,Groceries,17-07-2022,44.41,meera.rao792@mail.com
Divya Nair,39.0,,germany,Groceries,08-02-2022,144.67,divya.nair63@mail.com
Karan Nair,58.0,MALE,Germany,Furniture,2023-02-19,162.7,karan.nair324@mail.com
Divya Verma,55.0,M,India,Clothing,13-09-2023,35.37,divya.verma383@mail.com
Nikhil Reddy,66.0,MALE,,Sports,02-02-2023,25.04,nikhil.reddy159@mail.com
Deepak Sharma,18.0,MALE,U.K.,Electronics,02-15-2023,34.79,deepak.sharma306@mail.com
Vikram Reddy,20.0,M,U.K.,Beauty,20-08-2023,247.03,vikram.reddy575@mail.com
Priya Patel,23.0,Female,uk,Groceries,24-03-2022,45.68,priya.patel539@mail.com
Deepak Rao,23.0,male,India,Clothing,2024-03-06,216.71,deepak.rao773@mail.com
Deepak Nair,38.0,M,India,Groceries,04-10-2022,68.04,deepak.nair834@mail.com
Suresh Nair,38.0,male,Germany,Beauty,10-03-2023,316.39,
Swati Iyer,39.0,male,U.K.,Clothing,26-10-2023,63.2,swati.iyer684@mail.com
Divya Rao,46.0,male,uk,Furniture,08-21-2024,110.69,divya.rao80@mail.com
Rohit Rao,30.0,Male,INDIA,Sports,06/09/2022,307.69,rohit.rao88@mail.com
Kavya Chauhan,32.0,Female,india,Clothing,2022-10-27,452.52,kavya.chauhan243@mail.com
Kavya Nair,37.0,Female,germany,Groceries,15/07/2022,288.64,kavya.nair624@mail.com
Rahul Nair,40.0,Female,germany,Sports,05/11/2023,388.53,rahul.nair791@mail.com
  ANJALI DAS  ,34.0,,germany,Clothing,2023-09-05,285.57,anjali.das65@mail.com
Neha Reddy,46.0,F,uk,Beauty,09-03-2022,306.78,neha.reddy726@mail.com
Kavya Gupta,45.0,F,usa,Sports,21/08/2023,51.26,kavya.gupta879@mail.com
Kavya Das,41.0,M,germany,Sports,01-16-2023,64.29,kavya.das941@mail.com
Neha Das,53.0,,U.S.A,Clothing,06/09/2022,204.13,neha.das354@mail.com
Divya Reddy,19.0,,USA,Beauty,2022-09-10,327.73,divya.reddy741@mail.com
Ritu Rao,61.0,F,usa,Clothing,10-01-2024,36.72,ritu.rao767@mail.com
